,Company,Date,Sentiment,Total Mentions
325,TSLA,2019-04-19,0,0
326,S&P500,2019-04-19,0,0
327,GME,2019-04-20,0.8271,1
328,TSLA,2019-04-20,0,0
329,S&P500,2019-04-20,0,0
330,GME,2019-04-21,0,0
331,TSLA,2019-04-21,0,0
332,S&P500,2019-04-21,0,0
333,GME,2019-04-22,0,0
334,TSLA,2019-04-22,1.0642999999999994,35
335,S&P500,2019-04-22,0,0
336,GME,2019-04-23,0,0
337,TSLA,2019-04-23,2.3114999999999997,55
338,S&P500,2019-04-23,0,0
339,GME,2019-04-24,0,0
340,TSLA,2019-04-24,10.889700000000001,62
341,S&P500,2019-04-24,0,0
342,GME,2019-04-25,0,0
343,TSLA,2019-04-25,0.7534,28
344,S&P500,2019-04-25,0,0
345,GME,2019-04-26,0,0
346,TSLA,2019-04-26,6.156599999999999,25
347,S&P500,2019-04-26,0,0
348,GME,2019-04-27,0,0
349,TSLA,2019-04-27,3.3780000000000006,11
350,S&P500,2019-04-27,0,0
351,GME,2019-04-28,0,0
352,TSLA,2019-04-28,0,0
353,S&P500,2019-04-28,0,0
354,GME,2019-04-29,0,0
355,TSLA,2019-04-29,0.7906,1
356,S&P500,2019-04-29,0,0
357,GME,2019-04-30,0,0
358,TSLA,2019-04-30,0.9355000000000001,8
359,S&P500,2019-04-30,0,0
360,GME,2019-05-01,0,0
361,TSLA,2019-05-01,-0.5801,1
362,S&P500,2019-05-01,0,0
363,GME,2019-05-02,0,0
364,TSLA,2019-05-02,7.3061,22
365,S&P500,2019-05-02,0,0
366,GME,2019-05-03,0,0
367,TSLA,2019-05-03,6.2509000000000015,14
368,S&P500,2019-05-03,0,0
369,GME,2019-05-04,0,0
370,TSLA,2019-05-04,-0.5913999999999999,3
371,S&P500,2019-05-04,0,0
372,GME,2019-05-05,0,0
373,TSLA,2019-05-05,0,0
374,S&P500,2019-05-05,0,0
375,GME,2019-05-06,0,0
376,TSLA,2019-05-06,-0.07510000000000011,10
377,S&P500,2019-05-06,0,0
378,GME,2019-05-07,0,0
379,TSLA,2019-05-07,3.0090000000000003,11
380,S&P500,2019-05-07,0,0
381,GME,2019-05-08,0,0
382,TSLA,2019-05-08,2.6227,11
383,S&P500,2019-05-08,0,0
384,GME,2019-05-09,0,0
385,TSLA,2019-05-09,1.5208,7
386,S&P500,2019-05-09,0,0
387,GME,2019-05-10,0,0
388,TSLA,2019-05-10,3.652,17
389,S&P500,2019-05-10,0,0
390,GME,2019-05-11,0,0
391,TSLA,2019-05-11,0,0
392,S&P500,2019-05-11,0,0
393,GME,2019-05-12,0,0
394,TSLA,2019-05-12,0,0
395,S&P500,2019-05-12,0,0
396,GME,2019-05-13,0,0
397,TSLA,2019-05-13,0,0
398,S&P500,2019-05-13,0,0
399,GME,2019-05-14,0,0
400,TSLA,2019-05-14,0,0
401,S&P500,2019-05-14,0,0
402,GME,2019-05-15,0,0
403,TSLA,2019-05-15,1.3749,3
404,S&P500,2019-05-15,0,0
405,GME,2019-05-16,0,0
406,TSLA,2019-05-16,0.0,1
407,S&P500,2019-05-16,0,0
408,GME,2019-05-17,0,0
409,TSLA,2019-05-17,-1.1102,27
410,S&P500,2019-05-17,0,0
411,GME,2019-05-18,0,0
412,TSLA,2019-05-18,0,0
413,S&P500,2019-05-18,0,0
414,GME,2019-05-19,0,0
415,TSLA,2019-05-19,-2.5817,8
416,S&P500,2019-05-19,0,0
417,GME,2019-05-20,0,0
418,TSLA,2019-05-20,2.9375999999999998,10
419,S&P500,2019-05-20,0,0
420,GME,2019-05-21,0,0
421,TSLA,2019-05-21,2.0385,34
422,S&P500,2019-05-21,0,0
423,GME,2019-05-22,0,0
